name,address,lat,lng
10th & Osage,"1005 Osage St Denver, CO 80204",39.7323319,-105.0054152
11th & Broadway,"1085 Broadway St. Denver, CO 80204",39.7333757,-104.9876094
11th & Delaware,"1095 Delaware St Denver, CO 80204",39.7337207206938,-104.993041636552
11th & Emerson,"900 E. 11th Ave Denver, CO 80218",39.73316365,-104.975856747384
12th & Columbine,"2504 East 12th Ave Denver, CO 80206",39.7350878,-104.9572332
12th & Sherman,"1200 Sherman St. Denver, CO 80203",39.7357732,-104.9847036
1350 Larimer,"1350 Larimer St. Denver, CO 80202",39.7468634,-105.0002104
13th & Marion,"1279 Marion St Denver, CO 80218",39.7367709,-104.9720149
13th & Pearl,"1291 Pearl Street Denver, CO 80203",39.7368035,-104.980105
13th & Speer,"1301 Speer Blvd Denver, CO 80204",39.73722625,-104.997111543914
1450 Wazee,"1450 Wazee St Denver, CO 80202",39.750114,-105.0015998
14th & Elati,"1404 Elati St. Denver, CO 80204",39.7386333,-104.9940401
14th & Ogden,"1425 Ogden St Denver, CO 80218",39.7385011,-104.9750705
14th & Stout,"850 14th St. Denver, CO 80202",39.7442686483079,-104.995993724899
14th & Welton,"700 14th St. Denver, CO 80202",39.743888,-104.9962344
1550 Glenarm,"1550 Glenarm Pl Denver, CO 80202",39.7432265,-104.9910977
1551 Lafayette,"1551 Lafayette St Denver, CO 80218",39.740879244898,-104.971014020408
15th & Cleveland,"101 West Colfax Avenue Denver, CO 80202",39.740768,-104.9887101
15th & Curtis,"1505 Curtis St Denver, CO 80202",39.7464209284569,-104.995949168416
15th & Delgany,"1515 Delgany St. Denver, CO 80202",39.7525283625329,-105.003729572881
16th & Boulder,"1615 Boulder St Denver, CO 80211",39.7599048095555,-105.009802356845
16th & Broadway,"1600 Broadway Denver, CO 80202",39.7416014,-104.9869947
16th & Little Raven,"1600 Little Raven St. Denver, CO 80202",39.755282,-105.004549
16th & Platte,"1601 Platte St Denver, CO 80202",39.757539,-105.00806
16th & Sherman,"1612 Sherman St. Denver , CO 80203",39.7419199,-104.9849473
17th & Blake,"1509 17th St. Denver, CO 80202",39.7516579239417,-104.998050650251
17th & Curtis,"950 17th St Denver, CO 80202",39.7477264,-104.9933716
17th & Downing,"1100 East 17th Ave Denver, CO 80218",39.7431766,-104.9732385
17th & Franklin,"1550 E 17th Ave Denver, CO 80218",39.7430121,-104.9685629
17th & Larimer,"1260 17th St. Denver, CO 80202",39.7498956,-104.9960753
17th & Pearl,"523 East 17th Ave Denver, CO 80203",39.743518,-104.980371
17th & Race,"2001 East 17th Ave Denver, CO 80206",39.7433833,-104.9633808
17th & Tejon,"2701 17th St. Denver, CO 80211",39.761254,-105.010548
18th & Arapahoe,"1099 18th St Denver, CO 80202",39.74959805,-104.992579801955
18th & California,"1701 California St. Denver, CO 80202",39.7472023,-104.9904179
19th & Market,"1899 Market St. Denver, CO 80202",39.75265,-104.994859
19th & Pearl,"600 E. 19th Ave Denver, CO 80203",39.7459857,-104.9846298
19th & Wynkoop,"1711 19th St. Denver, CO 80202",39.7548238,-104.9970035
2045 Franklin,"2045 Franklin St. Denver , CO 80205",39.7472884,-104.9685958
